pathway,memory_vs_intermediate_padj,memory_vs_intermediate_NES,memory_vs_effector_padj,memory_vs_effector_NES,intermediate_vs_effector_padj,intermediate_vs_effector_NES
GSE3982_BASOPHIL_VS_TH2_DN,0.1728900759555275,-1.2616059068483745,0.01557778822265494,1.533482866783495,0.00857498891165227,1.6381597534187862
GSE12507_PDC_CELL_LINE_VS_IMMATUE_T_CELL_LINE_UP,0.19928757690931093,-1.262837321208219,0.00934643983517116,1.9127276526263457,0.00857734398107069,2.0447672183041625
GSE40274_CTRL_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,0.18520622460924052,-1.2630246338958777,0.00934643983517116,2.239470107235464,0.00857498891165227,2.20492722159917
GSE21360_PRIMARY_VS_SECONDARY_MEMORY_CD8_TCELL_UP,0.18833838025900393,-1.2633553341997694,0.9917768014531528,0.6781363547515928,0.30681159420289855,1.1683805448545361
GSE13229_IMM_VS_INTMATURE_NKCELL_DN,0.15835990296053118,-1.2634558452501368,0.020187454938716657,-2.661129484863329,0.028313729136640473,-2.269621653258984
GSE15330_WT_VS_IKAROS_KO_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP,0.15197755243648584,-1.2636066948277753,0.26609960893407225,1.1702368642081977,0.026188479649100177,1.498889402573975
GSE7768_OVA_WITH_LPS_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP,0.17668818452165086,-1.264368658802897,0.15073131094257852,1.269223550846822,0.07579767838494314,1.3364729726302191
GSE3982_BCELL_VS_TH2_DN,0.1728900759555275,-1.2646686018967044,0.00934643983517116,2.2123805402961776,0.00857498891165227,2.2251473461518367
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_UP,0.15870646766169155,-1.2652043492860388,0.6893264446803266,0.9404694499527733,0.2963922627080522,1.1661228134058839
GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_UP,0.16345177664974622,-1.265452103932591,0.12246578997743503,-1.2584348020484448,0.6369483852170599,-0.9830220606877885
GSE36392_TYPE_2_MYELOID_VS_EOSINOPHIL_IL25_TREATED_LUNG_UP,0.1739386245139215,-1.267485716852161,0.09364548494983278,1.3224347095798368,0.028313729136640473,1.5007127520428725
GSE22033_WT_VS_PPARG_KO_MEF_DN,0.16928667602901362,-1.2676151434512657,0.15353914946246788,1.2609908646137378,0.028313729136640473,1.4699173712200981
GSE29614_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP,0.18933998100664765,-1.267642236447636,0.08849670044629802,-1.3190429593177095,0.7076252723311547,-0.935774764651468
GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_DN,0.12781170080919746,-1.2681653001572353,0.020187454938716657,-1.5817979442831778,0.04541006067723625,-1.3827244565422825
GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_DN,0.1863030303030303,-1.2687992632955467,0.44961847525153625,1.0717456586555283,0.1594505859862023,1.2691237330858118
GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_NAIVE_CD8_TCELL_DN,0.14474318688224877,-1.268985565888382,0.24220093343158927,1.1887995702065415,0.2971299310118938,1.1693361160412916
GSE41867_DAY6_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN,0.18143614027096827,-1.26959204288805,0.3014754320263502,-1.1109644582026725,0.8780432971666039,0.8498429587243734
GSE24210_RESTING_TREG_VS_TCONV_DN,0.15259515570934257,-1.269727952476036,0.00934643983517116,1.8712138553012176,0.00857498891165227,1.9973931586502904
GSE29618_PDC_VS_MDC_DN,0.15442360197901864,-1.2698678275969535,0.00934643983517116,1.7211230594900058,0.00857498891165227,1.759392892743431
GSE15330_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_VS_PRO_BCELL_UP,0.14320899032154258,-1.2699426606669209,0.2176674364896074,-1.1631923965968698,0.7902760704479396,0.91283544828163
GSE24142_DN2_VS_DN3_THYMOCYTE_FETAL_UP,0.13818140563843664,-1.270885002039084,0.053373513469784,1.392494692477542,0.0368446747563393,1.4176702903693412
GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_DN,0.21248372051828635,-1.2711895165265759,0.787666724406721,0.8712600749660603,0.3431236727947666,1.1641566383732884
GSE22886_NEUTROPHIL_VS_DC_DN,0.13379154505225496,-1.271207723779051,0.6708008938173341,0.957827788625871,0.11021697327930995,1.2971644636834723
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN,0.1720301017368084,-1.2714662327307644,0.1494023763413213,-1.227829892683412,0.8673443006626661,-0.8963481582932478
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,0.15589239870521265,-1.2722131135716455,0.00934643983517116,1.7632568407512241,0.00857498891165227,1.8093142551403605
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP,0.169449081803005,-1.2725790344930137,0.3602293578546932,1.1170398477203212,0.1330749073127986,1.2874192165528062
GSE42021_TCONV_PLN_VS_CD24INT_TCONV_THYMUS_UP,0.14960903562119898,-1.2728214985617385,0.10271200161910544,-1.3060727633816362,0.9279048661426345,0.810178695012087
GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_UP,0.14165564859703247,-1.2729668128729767,0.6628893677014337,0.9613201092074352,0.3540615220800621,1.13994420853789
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN,0.13326987148976677,-1.273191603913597,0.39865711560401745,1.0898019959871035,0.044914625619263876,1.3908621430715993
GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP,0.15442360197901864,-1.2732045333957105,0.19811258785662675,-1.1718813696833177,0.7920602811110893,0.9082290573972995
GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN,0.169449081803005,-1.2735420888154458,0.8351184283729873,-0.9009975787611243,0.5711306701485355,1.0163425751511668
GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_UP,0.15589239870521265,-1.2737360214046511,0.32636559697905126,1.1262009681193024,0.24534727042587068,1.1949755448375556
GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_DN,0.13195691202872534,-1.2739047829643049,0.6090054375485495,0.9803071255953086,0.1585985900448622,1.2584354284985655
GSE33425_CD161_HIGH_VS_NEG_CD8_TCELL_DN,0.1306763856676291,-1.2739159643227824,0.00934643983517116,1.6640896572758193,0.00857498891165227,1.64572836669539
GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP,0.1709106529209622,-1.2739902330520172,0.10104203632609607,-1.3220541222682076,0.807415982364152,0.896426849123144
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_DN,0.15870646766169155,-1.2748567517138818,0.5263218160478631,1.0249670409913867,0.43232381475313525,1.090603129829863
GSE25087_FETAL_VS_ADULT_TREG_UP,0.1563664373746059,-1.275097218070114,0.020114112080852783,1.5771636090570442,0.00857498891165227,1.7657387406655416
GSE22501_PERIPHERAL_BLOOD_VS_CORD_BLOOD_TREG_DN,0.169449081803005,-1.2759302639526229,0.32636559697905126,-1.0908617984390554,0.7141234833542527,0.941342550467472
GSE17721_0.5H_VS_24H_GARDIQUIMOD_BMDM_DN,0.15150119921396565,-1.2764626220294335,0.3317459304181296,-1.092591205329333,0.5531474505603019,1.0243226897782882
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN,0.1306763856676291,-1.2772089901132329,0.9790711250880851,0.7310382721898883,0.3540615220800621,1.1358958547565772
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP,0.17338763889438097,-1.2774850981012025,0.45579567779960706,1.0611065671194981,0.24689708613341527,1.2096061064102153
GSE3039_CD4_TCELL_VS_B1_BCELL_DN,0.15051767010775374,-1.277867132863932,0.022191779885966503,1.4813152926073974,0.03384684856800459,1.4181356995237424
GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,0.14165564859703247,-1.278333652622949,0.8075512449751324,0.8838091463667342,0.5147943695436749,1.0470302772990028
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,0.15150119921396565,-1.2787059149975957,0.1460431654676259,-1.2502452482514297,0.7313575574187737,0.9363630604537183
GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_DN,0.14960903562119898,-1.2790074081576484,0.6936598176582062,0.9416192789551099,0.5764722783020926,1.0115844352996186
