Gene,effector_vs_all_log2FoldChange,effector_vs_all_pvalue,effector_vs_all_padj,intermediate_vs_all_log2FoldChange,intermediate_vs_all_pvalue,intermediate_vs_all_padj,memory_vs_all_log2FoldChange,memory_vs_all_pvalue,memory_vs_all_padj
Arhgdia,-0.6838368709717045,5.28782257309153e-4,0.002652201265943669,0.5484541236003246,0.009530233200176352,0.059842791973890204,0.13538274737138117,0.5222348863935341,0.7893196692449712
Ints4,0.15145568431926856,0.3199997679270006,0.48838196117046956,-0.09047843837149083,0.5799678216349576,0.7965689141364459,-0.06097724594777837,0.7089614854428904,0.8867712732890298
Alyref,-1.0179068053821874,9.22669186137683e-7,9.462244498478951e-6,1.1453666397499993,1.684936317544959e-7,6.9864199470684184e-6,-0.1274598343678121,0.5634829399735182,0.8142709591171262
Anapc11,0.2486160051760871,0.008388337933288881,0.0278667647715193,0.12964930375788755,0.2002417569146781,0.4491573973263604,-0.37826530893397403,1.9048522273433483e-4,0.0031015809500980914
Pcyt2,0.0035070069458199202,0.9779596391433446,0.9881977060499495,-0.17611407770654147,0.19583159100169512,0.44379448432825225,0.17260707076072154,0.20388561359074558,0.49694990958679225
Sirt7,0.5685240106059617,1.0343447460167757e-7,1.2949909482625123e-6,-0.21629365604247905,0.05926809079292639,0.20982685422113215,-0.3522303545634814,0.0021285113157423837,0.021225098043949123
Tollip,0.2722798432738953,0.029427552410267,0.07792255822972859,-0.12453417114596058,0.35365864677069647,0.6218860314175235,-0.14774567212793538,0.2710129746370866,0.5823682918513435
Pycr1,0.034936860605572925,0.928046458041909,0.9609802532816346,-0.09891822951455376,0.8117965469776247,0.9198152378455939,0.06398136890898083,0.8766624470400461,0.9560249450741347
Aspscr1,-0.04852236901137136,0.6269503475734163,0.763373113174889,-0.019605746010574684,0.8546748177473922,0.9362805144436264,0.06812811502194605,0.5241852940860823,0.7906905447591513
Stra13,0.3130536029313814,0.0422118142269514,0.10396849927001119,0.07566881917905752,0.6472244601473114,0.83881244137555655,-0.38872242211043895,0.018820314185294618,0.10793188364201692
Lrrc45,0.27022734813601623,0.04589971481644238,0.11123215077118649,-0.4247656757936266,0.0035533848246834814,0.02897303651756867,0.15453832765761036,0.287059672133866,0.5995810033125099
Mob2,0.2635932123669124,0.063245683254608,0.14370704160034137,-0.12431506830582202,0.4148070203157763,0.6764377932763509,-0.139278144061091,0.36059242932618507,0.6716541953853671
Cbr2,2.8784107538444097,0.0018654644967689403,0.0078491455904444191,1.087385024426538,0.269635031152423,NA,-3.965795778270947,0.004219210484305143,0.036023668462488355
Maged1,-1.8396415064724396,0.0011973565257888579,0.005376400881211323,0.23243706856413177,0.6956720381741748,0.8616408692151949,1.6072044379083072,0.0064603872338978244,0.04946939874907775
Fasn,-0.20062882627658735,0.2003498959009602,0.3495133149630113,0.19057563679205844,0.254240490738123,0.5184030682770764,0.010053189484529544,0.9520065497889317,0.9852867604513895
Arhgap19,-2.0280067731290092,3.9077165869440197e-17,1.7769200601951536e-15,1.3098460200097963,3.3045035297339523e-7,1.2655597385180597e-5,0.7181607531192138,0.005149429754267934,0.04192166927565623
Dus1l,-0.14607184576571033,0.15666751171856635,0.29210689353208813,0.12115477744107646,0.27283594559606034,0.539118835693626,0.02491706832463324,0.8214353697608685,0.9343705037179618
Gps1,-0.16896501600306052,0.024743561611172613,0.06775265930395362,0.2278250289871092,0.004651000997832776,0.03576578363763691,-0.058860012984048055,0.46510700630569835,0.7516577194706102
Zdhhc16,-0.4953877094059082,1.518808029626659e-5,1.1574208702165556e-4,0.3312133426472735,0.00659070947417816,0.04560700561370548,0.16417436675863534,0.17811121868937296,0.46134070837342017
Rfng,0.1792797940649073,0.034046001120773196,0.08754008832271912,-0.034547534016950154,0.7043035839254959,0.866005177159142,-0.14473226004795714,0.11141810104255498,0.35229112619844133
Mms19,-0.45195542665228006,0.017883418079730526,0.05199599453366636,0.4835660760067572,0.018162547741792927,0.09407376909964632,-0.03161064935447587,0.877211388466119,0.9560249450741347
Slc16a3,-1.0784474203768097,5.334776252089087e-5,3.5252694689925874e-4,0.8805911120903546,0.001933257550620035,0.018318233793169363,0.19785630828645523,0.4866792214017697,0.766785878084997
Csnk1d,0.1585991065976525,0.21139747229833714,0.36274275583727694,-0.12339894256844217,0.3646313959049035,0.6317866698156167,-0.0352001640292097,0.7959145656004871,0.9230761947673292
Cd7,-0.8042252476620987,1.9547589755508308e-7,2.328554641354301e-6,-0.5486516250973037,9.283470964613847e-4,0.010288573772543172,1.3528768727594023,2.808068046496354e-16,7.130051039799438e-14
