Gene,memory_vs_intermediate_stat,memory_vs_effector_stat,intermediate_vs_effector_stat
Mydgf,-1.8691085015099729,1.1296990089205272,3.1261723181807035
Cyb561,0.2690520119069376,4.334991369622029,4.051971966578282
Sema6a,-1.5780924851187916,-0.9085930661998675,0.8052086620928465
Ccdc12,-2.071749856000652,-1.5661332906952778,0.6487175238727992
1110001J03Rik,-1.2863108521219664,-3.2737744478400224,-1.8980995064131556
Akt3,0.3913634722012761,-4.1696505802707255,-4.560768211338628
Mrpl24,0.05813655057046907,-2.8292880084109067,-2.8890888516594226
Gle1,-0.13000800662142722,-2.725317492458655,-2.5859495502640435
L3hypdh,1.2431270149356974,-0.24418197533519173,-1.5355609854853631
Lyst,4.189743137584231,5.32744026949306,0.8402548829837261
Slc35e1,-0.44464572963268595,-0.5079748714563834,-0.032468906632676854
Calr3,0.17312911478314336,-0.6572332075015624,-0.8346571032582474
Tmc4,2.252913972603431,1.2539188842656785,-1.133556068226016
Syne4,1.3373979150093187,1.1563916441238207,-0.2934198259111807
Polr2i,-1.633128848078028,-1.2035544902748152,0.5443333234005978
Prl8a1,0.49209075366343663,-0.8492481109597235,-1.3679512833968066
Krt10,-0.29238391848423223,0.901794289605668,1.2091770194429716
Rmnd1,0.5269618320953973,-0.8439732476391524,-1.4044359973075862
Ccdc170,-0.47405401520328,-0.8846847669333958,-0.3995406449170949
Esr1,0.15462092660821694,1.9473962511447058,1.7782513381749037
Fbxo5,-2.3599421853682436,8.833506182836704,11.345457380140786
Mtrf1l,-0.9389563578824471,2.2534154579285826,3.256159880818972
Hdac2,-1.5883226518316287,1.0083161743175775,2.7014957223898457
Rwdd1,-1.4625456423230352,-0.9220494434277428,0.6413398756260692
Clvs2,0.4134419435271857,0.3082089666753046,-0.1363577165152639
Stxbp5,-2.487270706535809,-4.604661656226899,-1.936018495196323
Hint3,0.5369067820103645,1.46468676419937,0.8869175766898163
Trmt11,0.5959328106466127,-1.9313584446082634,-2.5650309679475916
